Time,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64
0,0.085,0.083,0.082,0.084,0.084,0.084,0.084,0.084,0.086,0.085,0.086,0.086,0.087,0.086,0.088,0.086,0.089,0.084,0.086,0.088,0.086,0.088,0.09,0.089,0.1,0.088,0.088,0.089,0.09,0.091,0.089,0.089,0.086,0.081,0.081,0.083,0.087,0.084,0.081,0.083,0.091,0.086,0.086,0.086,0.086,0.085,0.086,0.088,0.092,0.087,0.087,0.087,0.09,0.085,0.093,0.09,0.089,0.088,0.087,0.087,0.087,0.086,0.086,0.087
1,0.085,0.083,0.082,0.084,0.083,0.084,0.084,0.084,0.086,0.085,0.086,0.086,0.087,0.086,0.088,0.086,0.089,0.084,0.086,0.088,0.087,0.088,0.09,0.089,0.099,0.088,0.088,0.089,0.09,0.091,0.089,0.089,0.086,0.081,0.081,0.083,0.087,0.084,0.081,0.083,0.092,0.087,0.086,0.087,0.086,0.086,0.086,0.088,0.092,0.087,0.087,0.087,0.09,0.085,0.096,0.09,0.09,0.088,0.087,0.088,0.088,0.086,0.087,0.087
2,0.085,0.083,0.082,0.084,0.084,0.083,0.084,0.084,0.087,0.085,0.086,0.086,0.087,0.086,0.088,0.086,0.089,0.085,0.086,0.087,0.087,0.089,0.09,0.089,0.099,0.088,0.088,0.089,0.09,0.091,0.089,0.089,0.086,0.081,0.081,0.083,0.087,0.084,0.081,0.083,0.093,0.088,0.087,0.089,0.088,0.087,0.088,0.09,0.092,0.088,0.087,0.089,0.09,0.086,0.095,0.09,0.091,0.089,0.088,0.088,0.089,0.087,0.087,0.088
3,0.085,0.083,0.082,0.084,0.084,0.084,0.084,0.084,0.087,0.085,0.086,0.086,0.087,0.086,0.088,0.086,0.089,0.084,0.087,0.087,0.086,0.088,0.089,0.089,0.098,0.088,0.088,0.089,0.09,0.092,0.089,0.089,0.086,0.081,0.082,0.082,0.087,0.084,0.082,0.083,0.095,0.09,0.089,0.091,0.09,0.089,0.09,0.094,0.093,0.089,0.088,0.089,0.091,0.086,0.088,0.091,0.092,0.09,0.09,0.09,0.09,0.089,0.089,0.089
4,0.085,0.083,0.082,0.084,0.084,0.084,0.084,0.084,0.087,0.085,0.086,0.086,0.087,0.086,0.088,0.087,0.089,0.085,0.087,0.087,0.087,0.088,0.089,0.089,0.099,0.088,0.088,0.089,0.09,0.092,0.089,0.089,0.086,0.081,0.081,0.083,0.087,0.084,0.081,0.083,0.099,0.093,0.092,0.093,0.095,0.093,0.093,0.1,0.093,0.089,0.089,0.089,0.092,0.087,0.098,0.092,0.095,0.092,0.092,0.093,0.092,0.091,0.092,0.091
5,0.085,0.083,0.082,0.084,0.084,0.084,0.084,0.084,0.088,0.086,0.087,0.087,0.088,0.087,0.089,0.087,0.088,0.085,0.087,0.087,0.087,0.088,0.089,0.089,0.098,0.088,0.088,0.089,0.09,0.092,0.089,0.089,0.086,0.081,0.081,0.083,0.087,0.084,0.081,0.084,0.11,0.099,0.098,0.099,0.107,0.099,0.101,0.108,0.095,0.09,0.091,0.091,0.094,0.089,0.09,0.094,0.098,0.096,0.096,0.096,0.096,0.095,0.095,0.095
6,0.086,0.083,0.082,0.084,0.084,0.084,0.084,0.084,0.088,0.087,0.087,0.088,0.089,0.088,0.09,0.088,0.088,0.085,0.086,0.087,0.086,0.088,0.089,0.089,0.098,0.088,0.088,0.089,0.09,0.092,0.089,0.09,0.087,0.081,0.081,0.082,0.087,0.084,0.081,0.084,0.119,0.109,0.107,0.107,0.124,0.111,0.114,0.118,0.098,0.093,0.094,0.094,0.097,0.092,0.103,0.096,0.103,0.101,0.101,0.102,0.101,0.1,0.101,0.1
7,0.086,0.083,0.082,0.084,0.084,0.084,0.084,0.084,0.09,0.088,0.089,0.089,0.09,0.089,0.091,0.089,0.088,0.084,0.087,0.086,0.087,0.088,0.089,0.089,0.099,0.088,0.089,0.089,0.091,0.092,0.089,0.09,0.087,0.081,0.082,0.083,0.087,0.084,0.082,0.084,0.116,0.122,0.121,0.123,0.149,0.13,0.133,0.127,0.1,0.096,0.097,0.098,0.1,0.095,0.096,0.099,0.111,0.109,0.109,0.109,0.109,0.108,0.108,0.107
8,0.085,0.083,0.082,0.084,0.084,0.084,0.084,0.084,0.091,0.089,0.09,0.091,0.092,0.091,0.093,0.091,0.088,0.085,0.087,0.087,0.087,0.088,0.089,0.089,0.099,0.088,0.088,0.089,0.09,0.092,0.089,0.09,0.087,0.081,0.082,0.083,0.087,0.084,0.081,0.083,0.124,0.136,0.133,0.131,0.165,0.147,0.152,0.144,0.104,0.101,0.102,0.103,0.106,0.1,0.109,0.103,0.122,0.119,0.12,0.12,0.119,0.118,0.118,0.116
9,0.085,0.083,0.082,0.084,0.084,0.084,0.084,0.084,0.093,0.091,0.092,0.093,0.094,0.093,0.095,0.093,0.088,0.085,0.087,0.087,0.086,0.088,0.089,0.089,0.099,0.088,0.089,0.089,0.09,0.092,0.089,0.09,0.087,0.081,0.082,0.083,0.087,0.084,0.081,0.084,0.139,0.157,0.152,0.155,0.189,0.163,0.177,0.169,0.109,0.105,0.107,0.11,0.111,0.106,0.114,0.108,0.135,0.133,0.133,0.134,0.132,0.131,0.131,0.13
