mean,lwrCL,uprCL,spo,naCount
0.967,0.96,0.974,SPO_Sp16SA,0
0.966,0.957,0.975,SPO_Sp16SB,0
0.964,0.956,0.971,SPO_Sp16SC,0
0.961,0.955,0.968,SPO_Sp23SA,0
0.962,0.958,0.966,SPO_Sp23SB,0
0.995,0.978,1.014,SPO_Sp5SD,0
0.975,0.957,0.992,SPO_Sp5SE,0
0.96,0.937,0.982,SPO_Sp5SF,0
0.827,0.765,0.884,SPO0001,0
1.022,0.995,1.054,SPO0002,0
0.409,0,0.917,SPO0003,601
NA,NA,NA,SPO0004,10000
1.063,1.033,1.099,SPO0005,0
1.026,1.008,1.045,SPO0006,0
1.04,1.006,1.074,SPO0007,0
0.984,0.964,1.009,SPO0008,0
0.955,0.924,0.984,SPO0009,0
0.338,0,0.688,SPO0010,0
0.993,0.977,1.008,SPO0011,0
1.017,0.992,1.045,SPO0012,0
0.998,0.968,1.027,SPO0013,0
0.98,0.958,0.995,SPO0014,0
1.052,1.01,1.1,SPO0015,0
0.984,0.939,1.029,SPO0016,0
1.019,1.001,1.034,SPO0017,0
0,0,0,SPO0018,0
0.975,0.958,0.991,SPO0019,0
1.024,1.01,1.039,SPO0020,0
0.925,0.91,0.94,SPO0021,0
0.993,0.975,1.008,SPO0022,0
1.03,0.993,1.069,SPO0023,0
0.911,0.883,0.939,SPO0024,0
1.015,0.987,1.042,SPO0025,0
NA,NA,NA,SPO0026,10000
0.986,0.974,1,SPO0027,0
0.995,0.976,1.01,SPO0028,0
1.049,1.02,1.079,SPO0029,0
1.024,1.002,1.043,SPO0030,0
1.045,1.031,1.061,SPO0031,0
1.044,1.015,1.079,SPO0033,0
1.002,0.981,1.024,SPO0034,0
0.998,0.978,1.018,SPO0035,0
0.983,0.977,0.99,SPO0036,0
0.991,0.982,1.003,SPO0037,0
NA,NA,NA,SPO0038,10000
NA,NA,NA,SPO0039,10000
1.006,0.983,1.031,SPO0040,0
1.045,1.023,1.067,SPO0041,0
1.018,0.984,1.052,SPO0042,0
1.137,1.137,1.137,SPO0043,7682
0.928,0.815,1.033,SPO0044,0
0.991,0.964,1.019,SPO0045,0
0.922,0.897,0.946,SPO0046,0
0.982,0.904,1.077,SPO0046a,0
0.934,0.884,0.989,SPO0047,0
0.995,0.952,1.04,SPO0048,0
1.006,0.962,1.046,SPO0049,0
0.962,0.938,1,SPO0050,0
0.997,0.967,1.028,SPO0051,0
1.008,0.963,1.056,SPO0052,0
0.998,0.951,1.048,SPO0053,0
0.969,0.931,1.004,SPO0054,0
1.051,1.025,1.077,SPO0055,0
1.04,1.007,1.072,SPO0056,0
0.889,0.319,1.309,SPO0057,3
1.016,1.002,1.032,SPO0058,0
0.966,0.951,0.981,SPO0059,0
1.054,1.04,1.07,SPO0060,0
NA,NA,NA,SPO0061,10000
0.465,0,0.974,SPO0062,0
0.163,0,0.497,SPO0063,0
NA,NA,NA,SPO0064,10000
NA,NA,NA,SPO0065,10000
0.969,0.946,0.991,SPO0066,0
0.882,0.751,1.004,SPO0067,0
1.012,0.963,1.07,SPO0068,0
1.015,0.993,1.038,SPO0069,0
0.996,0.946,1.042,SPO0070,0
1.055,1.022,1.096,SPO0071,0
0.899,0.764,1.038,SPO0072,0
NA,NA,NA,SPO0074,10000
1.057,1.04,1.074,SPO0075,0
0.963,0.925,1.002,SPO0077,0
1.072,1.045,1.098,SPO0078,0
NA,NA,NA,SPO0079,10000
NA,NA,NA,SPO0080,10000
NA,NA,NA,SPO0081,10000
NA,NA,NA,SPO0082,10000
1.058,1.037,1.078,SPO0084,0
0.883,0.81,0.957,SPO0085,0
1.048,1.035,1.06,SPO0086,0
1.001,0.968,1.032,SPO0087,0
1.018,0.957,1.074,SPO0088,0
1.022,0.998,1.056,SPO0089,0
0.995,0.965,1.029,SPO0090,0
1.013,0.986,1.036,SPO0091,0
0.955,0.876,1.023,SPO0092,0
1.007,0.949,1.067,SPO0093,0
0.983,0.95,1.018,SPO0094,0
0.889,0.841,0.925,SPO0095,0
0.969,0.931,1.012,SPO0096,0
0.993,0.97,1.017,SPO0097,0
0.956,0.936,0.975,SPO0098,0
0.958,0.925,0.992,SPO0099,0
0.999,0.943,1.059,SPO0100,0
0.985,0.965,1.002,SPO0101,0
0.74,0.695,0.79,SPO0102,0
0.762,0.704,0.817,SPO0103,0
1.011,0.989,1.035,SPO0104,0
0.987,0.959,1.02,SPO0105,0
1.016,0.994,1.042,SPO0106,0
1.034,1.01,1.064,SPO0107,0
0.981,0.919,1.043,SPO0108,0
1.005,0.991,1.02,SPO0109,0
